Rank,Movie,"Release
Date",Distributor,Genre,MPAA,2014 Gross,Tickets Sold
1,The Lego Movie,2/7/2014,Warner Bros.,Adventure,PG,248303720,30429377
2,Ride Along,1/17/2014,Universal,Comedy,PG-13,133659265,16379811
3,Lone Survivor,1/10/2014,Universal,Action,R,124722648,15284638
4,Frozen,11/27/2013,Walt Disney,Adventure,PG,121285671,14863440
5,300: Rise of an Empire,3/7/2014,Warner Bros.,Action,R,101145414,12395271
6,Divergent,3/21/2014,Lionsgate,Adventure,PG-13,95260008,11674020
7,Mr. Peabody & Sherman,3/7/2014,20th Century Fox,Adventure,PG,94479448,11578363
8,Non-Stop,2/28/2014,Universal,Action,PG-13,85091060,10427825
9,The Monuments Men,2/7/2014,Sony Pictures,Drama,PG-13,76599461,9387188
10,American Hustle,12/13/2013,Sony Pictures,Black Comedy,R,74500902,9130012
11,The Wolf of Wall Street,12/25/2013,Paramount Pictures,Black Comedy,R,66971613,8207305
12,The Nut Job,1/17/2014,Open Road,Adventure,PG,63115725,7734770
13,Son of God,2/28/2014,20th Century Fox,Drama,PG-13,57854943,7090066
14,RoboCop,2/12/2014,Sony Pictures,Action,PG-13,57279423,7019537
15,Jack Ryan: Shadow Recruit,1/17/2014,Paramount Pictures,Action,PG-13,50549107,6194743
16,About Last Night,2/14/2014,Sony Pictures,Romantic Comedy,R,48345285,5924667
17,The Hobbit: The Desolation of Smaug,12/13/2013,Warner Bros.,Adventure,PG-13,44718234,5480175
18,Noah,3/28/2014,Paramount Pictures,Drama,PG-13,43720472,5357900
19,Need for Speed,3/14/2014,Walt Disney,Action,PG-13,37753021,4626595
20,August: Osage County,12/25/2013,Weinstein Co.,Black Comedy,R,37287893,4569594
21,Muppets Most Wanted,3/21/2014,Walt Disney,Comedy,PG,33210689,4069937
22,Saving Mr. Banks,12/20/2013,Walt Disney,Drama,PG-13,32938215,4036545
23,Paranormal Activity: The Marked Ones,1/3/2014,Paramount Pictures,Horror,R,32462372,3978231
24,3 Days to Kill,2/21/2014,Relativity,Thriller/Suspense,PG-13,30233978,3705144
25,Anchorman 2: The Legend Continues,12/18/2013,Paramount Pictures,Comedy,PG-13,29273194,3587401
26,That Awkward Moment,1/31/2014,FilmDistrict,Romantic Comedy,R,26021731,3188937
27,The Hunger Games: Catching Fire,11/22/2013,Lionsgate,Adventure,PG-13,24562664,3010130
28,The Grand Budapest Hotel,3/7/2014,Fox Searchlight,Comedy,R,24171610,2962207
29,Endless Love,2/14/2014,Universal,Drama,PG-13,23438250,2872334
30,Her,1/10/2014,Warner Bros.,Drama,R,23145767,2836491
31,Pompeii,2/21/2014,Sony Pictures,Drama,PG-13,22970543,2815017
32,God's Not Dead,3/21/2014,Pure Flix Entertainemnt,Drama,PG,22028439,2699563
33,The Secret Life of Walter Mitty,12/25/2013,20th Century Fox,Comedy,PG,20709116,2537881
34,Philomena,11/22/2013,Weinstein Co.,Drama,PG-13,19186772,2351320
35,"I, Frankenstein",1/24/2014,Lionsgate,Action,PG-13,19075290,2337658
36,The Legend of Hercules,1/10/2014,Lionsgate,Adventure,PG-13,18848538,2309869
37,12 Years a Slave,10/18/2013,Fox Searchlight,Drama,R,18235068,2234689
38,Gravity,10/4/2013,Warner Bros.,Thriller/Suspense,PG-13,18046232,2211548
39,Devil's Due,1/17/2014,20th Century Fox,Horror,R,15821461,1938904
40,Tyler Perry's The Single Moms Club,3/14/2014,Lionsgate,Comedy,PG-13,15038105,1842905
41,Labor Day,1/31/2014,Paramount Pictures,Drama,PG-13,13371528,1638667
42,Winter's Tale,2/14/2014,Warner Bros.,Drama,PG-13,12578923,1541534
43,Nebraska,11/15/2013,Paramount Pictures,Drama,R,11269864,1381110
44,Dallas Buyers Club,11/1/2013,Focus Features,Drama,R,11194478,1371872
45,47 Ronin,12/25/2013,Universal,Action,PG-13,10732010,1315197
46,Grudge Match,12/25/2013,Warner Bros.,Comedy,PG-13,10297203,1261912
47,Walking with Dinosaurs,12/20/2013,20th Century Fox,Adventure,PG,8448224,1035321
48,Vampire Academy,2/7/2014,Weinstein Co.,Drama,PG-13,7779612,953383
49,Inside Llewyn Davis,12/6/2013,CBS Films,Drama,R,7430656,910619
50,Sabotage,3/28/2014,Open Road,Action,R,5330000,653186